sl no,work,status,year,garam,work type,Total
56,ಚಿಲಮೂರ ಗ್ರಾಮದ ಕಲ್ಲಪ್ಪ ಮುತ್ತಪ್ಪ ಕುಕ್ಕಡಿ ಇವರ ಮನೆಯಿಂದ ಹಳ್ಳದವರೆಗೆ ಒಳಚರಂಡಿ ನಿರ್ಮಾಣ,Suspended,2018-2019,Gram Panchayat,Flood Control and Protection,0.70985
,(1504009014/FP/93393042892207926),,,,,
57,ಪೀರನಗುಡಿ ಗ್ರಾಮದ ಅಂಗನವಾಡಿ ಹೋಗುರಸ್ತೆಯಿಂದ ಕಾಲುವೆವರೆಗೆ ಚರಂಡಿ ನಿರ್ಮಾಣ,Suspended,2019-2020,Gram Panchayat,Flood Control and Protection,0
,(1504009014/FP/93393042892210151),,,,,
58,ಚಿಲಮೂರ ಗ್ರಾಮದ ಕಲ್ಲಪ್ಪ ಬೀ ಪೂಜೇರ ಇವರ ಹೊಲದಿಂದ ಹಳ್ಳದವರೆಗೆ ಚರಂಡಿ ನಿರ್ಮಾಣ,Suspended,2019-2020,Gram Panchayat,Flood Control and Protection,1.2601
,(1504009014/FP/93393042892211158),,,,,
59,ಪೀರನಗುಡಿ ಗ್ರಾಮದ ಅಂಗನವಾಡಿ ಹೋಗುರಸ್ತೆಯಿಂದ ಕಾಲುವೆವರೆಗೆ ಚರಂಡಿ ನಿರ್ಮಾಣ,Suspended,2019-2020,Gram Panchayat,Flood Control and Protection,0
,(1504009014/FP/93393042892211159),,,,,
60,ನರಸಾಪೂರ ಗ್ರಾಮದ ಬಸು ಯಾದವಾಡ ಇವರ ಮನೆಯಿಂದ ಇಮಾಮಸಾಬ ಕೆಂಜಗನ್ನವರ ಮನೆ ವರೆಗೆ ಚರಂಡಿ ನಿರ್ಮಾಣ,Suspended,2019-2020,Gram Panchayat,Flood Control and Protection,0.99849
,(1504009014/FP/93393042892211371),,,,,
61,ನರಸಾಪೂರ ಗ್ರಾಮ ಬಸಪ್ಪ ಕಳ್ಳೆಪ್ಪನವರ ಜಾಗೆಯಿಂದ ಅಂಗನವಾಡಿವರೆಗೆ ಚರಂಡಿ ನಿರ್ಮಾಣ,Suspended,2019-2020,Gram Panchayat,Flood Control and Protection,0.77688
,(1504009014/FP/93393042892212102),,,,,
62,ನರಸಾಪೂರ ಗ್ರಾಮದ ಫ್ರೌಡಶಾಲೆಯ ತಡೆಗೋಡೆ ನಿರ್ಮಾಣ,On Going,2019-2020,Gram Panchayat,Flood Control and Protection,2.16132
,(1504009014/FP/93393042892214496),,,,,
63,ನರಸಾಪೂರ ಗ್ರಾಮದ ಶಿವಪ್ಪ ಹಳ್ಳಿ ಇವರ ಮನೆಯಿಂದ ತಿಪ್ಪಣ್ಣ ಹಳ್ಳಿ ಇವರ ಮನೆವರೆಗೆ ಚರಂಡಿ ನಿರ್ಮಾಣ,New,2019-2020,Gram Panchayat,Flood Control and Protection,0
,(1504009014/FP/93393042892224033),,,,,
64,ನರಸಾಪೂರ ಗ್ರಾಮದ ಮೇನ ಡಾಂಬರ ರಸ್ತೆಯಿಂದ ಮಾದೇವಿ ಮರಕುಂಬಿ ಇವರ ಮನೆವರೆಗೆನ ಚರಂಡಿ ನಿರ್ಮಾಣ,Suspended,2019-2020,Gram Panchayat,Flood Control and Protection,0
,(1504009014/FP/93393042892224034),,,,,
65,ಚಿಲಮೂರ ಗ್ರಾಮದ ಯಲ್ಲಮ್ಮನ ಗುಡಿಯಿಂದ ವರೆಕನ್ನವರ ಮನೆವರೆಗೆ ಚರಂಡಿ ನಿರ್ಮಾಣ,New,2019-2020,Gram Panchayat,Flood Control and Protection,0
,(1504009014/FP/93393042892224035),,,,,
66,ಅಂಗನವಾಡಿಯಿಂದ ಮಲ್ಲಪ್ಪ ರೊಟ್ಟಿ ಮನೆಯವೆರೆಗೆ ಒಳಚರಂಡಿ ನಿರ್ಮಾಣ,New,2019-2020,Gram Panchayat,Flood Control and Protection,0
,(1504009014/FP/93393042892224036),,,,,
67,ನರಸಾಪೂರ ಗ್ರಾಮದ ಕಣವಿ ಬಸವೇಶ್ವರ ನಗರದ ಡಾಂಬರ ರಸ್ತೆಯಿಂದ ನಿಂಗಪ್ಪ ಕಾಮಾರ ಜಮೀನದವರೆಗೆ ಚರಂಡಿ ನಿರ್ಮಾಣ,On Going,2019-2020,Gram Panchayat,Flood Control and Protection,0.15687
,(1504009014/FP/93393042892224037),,,,,
68,ಜೀವಾಪೂರ ಗ್ರಾಮದ ಶಾಲೆಯ ಪಶ್ಚೀಮ ದಿಕ್ಕಿಗೆ ಕಂಪೌಂಡ ಗೋಡೆ ನಿರ್ಮಾಣ,On Going,2019-2020,Gram Panchayat,Flood Control and Protection,1.08689
,(1504009014/FP/93393042892224038),,,,,
69,ಪೀರನಗುಡಿ ಗ್ರಾಮದ ಮಾಬುಸಾಬ ಮಕಾನದಾರ ಮನೆಯಿಂದ ಚಿನಗಿಸಾಬ ಮಕಾನದಾರ ಮನೆಯವರೆಗೆ ಚರಂಡಿ ನಿರ್ಮಾಣ,New,2019-2020,Gram Panchayat,Flood Control and Protection,0
,(1504009014/FP/93393042892225511),,,,,
70,ಪೀರನಗುಡಿ ಗ್ರಾಮದ ಚಿನಗಿಸಾಬ ಮಕಾನದಾರ ಮನೆಯಿಂದ ಕಿನಾಲ್ ವರೆಗೆ ಚರಂಡಿ ನಿರ್ಮಾಣ,New,2019-2020,Gram Panchayat,Flood Control and Protection,0
,(1504009014/FP/93393042892225512),,,,,
71,ಲಕ್ಷ್ಮೀನಗರದ ಕಲ್ಲಪ್ಪ ತೂತಗಡಗಿ ಇವರ ಮನೆಯಿಂದ ಲಕ್ಷ್ಮಣ ಉಪ್ಪಾರ ಮನೆವರೆಗೆ ಚರಂಡಿ ನಿರ್ಮಾಣ,New,2019-2020,Gram Panchayat,Flood Control and Protection,0
,(1504009014/FP/93393042892225513),,,,,
72,ಲಕ್ಷ್ಮೀನಗರದ ಸಿದ್ದಪ್ಪ ಇಂಚಲ ಇವರ ಮನೆಯಿಂದ ಹಳ್ಳದವರೆಗೆ ಚರಂಡಿ ನಿರ್ಮಾಣ,New,2019-2020,Gram Panchayat,Flood Control and Protection,0
,(1504009014/FP/93393042892225514),,,,,
73,ಲಕ್ಷ್ಮೀನಗರದ ಬಸಪ್ಪ ಉಪ್ಪಾರ ಮನೆಯಿಂದ ಬಸಪ್ಪ ತೂತಗಡಗಿ ಮನೆವರೆಗೆ ಚರಂಡಿ ನಿರ್ಮಾಣ,New,2019-2020,Gram Panchayat,Flood Control and Protection,0
,(1504009014/FP/93393042892225515),,,,,
74,ನರಸಾಪೂರ ಗ್ರಾಮದ ಮೇನ ರಸ್ತೆಯಿಂದ ಮಾದೇವಿ ಮರಕುಂಬಿ ಇವರ ಮನೆಯವರೆಗೆ ಚರಂಡಿ ನಿರ್ಮಾಣ,On Going,2019-2020,Gram Panchayat,Flood Control and Protection,0.29631
,(1504009014/FP/93393042892227269),,,,,
75,ಪೀರನಗುಡಿ ಗ್ರಾಮದ ಮಾಬುಸಾಬ ಮಕಾನದಾರ ಮನೆಯಿಂದ ಚಿನಗಿಸಾಭ ಮಕಾನದಾರ ಮನೆಯವರೆಗೆ ಚರಂಡಿ ನಿರ್ಮಾಣ,On Going,2019-2020,Gram Panchayat,Flood Control and Protection,0
,(1504009014/FP/93393042892227349),,,,,
76,ಪೀರನಗುಡಿ ಗ್ರಾಮದ ಚಿನಗಿಸಾಬ ಮಕಾನದಾರ ಮನೆಯಿಂದ ಕಿನಾಲ್ ವರೆಗೆ ಚರಂಡಿ ನಿರ್ಮಾಣ,Approved,2019-2020,Gram Panchayat,Flood Control and Protection,0
