sl no,work,status,year,garam,work type,Total
,(1504009014/IF/93393042892535614),,,,,
761,ನರಸಾಪೂರ ಗ್ರಾಮದ ರಮೇಶ ನಿಂಗಪ್ಪ ಕೊಪ್ಪದ ಇವರ ದನದ ಶೇಡ್ಡ ನಿರ್ಮಾಣ,Approved,2020-2021,Gram Panchayat,Works on Individuals Land (Category IV),0
,(1504009014/IF/93393042892535616),,,,,
762,ನರಸಾಪೂರ ಗ್ರಾಮದ ಬಸಪ್ಪ ಚನ್ನಮಲ್ಲಪ್ಪ ಕಡಕೋಳ ಇವರ ದನದ ಶೇಡ್ಡ ನಿರ್ಮಾಣ,Approved,2020-2021,Gram Panchayat,Works on Individuals Land (Category IV),0
,(1504009014/IF/93393042892535618),,,,,
763,ನರಸಾಪೂರ ಗ್ರಾಮದ ಬಸಲಿಂಗಪ್ಪ ಗು ತೂತಗಡಗಿ ಇವರ ದನದ ಶೇಡ್ಡ ನಿರ್ಮಾಣ,Approved,2020-2021,Gram Panchayat,Works on Individuals Land (Category IV),0
,(1504009014/IF/93393042892535620),,,,,
764,ಫಕೀರವ್ವ ಕರಿಯಪ್ಪ ಬಿ ಪಾಟೀಲ ಇವರ ದನದ ಶೇಡ್ಡ ನಿರ್ಮಾಣ,Approved,2020-2021,Gram Panchayat,Works on Individuals Land (Category IV),0
,(1504009014/IF/93393042892537289),,,,,
765,ನರಸಾಪೂರ ಗ್ರಾಮದ ಸುರೇಶ ಸಿದ್ದಪ್ಪ ಇಂಚಲ್ ಇವರ ದನದ ಶೇಡ್ಡ ನಿರ್ಮಾಣ,physical complete,2020-2021,Gram Panchayat,Works on Individuals Land (Category IV),0.1925
,(1504009014/IF/93393042892542975),,,,,
766,ಚಿಲಮೂರ ಗ್ರಾಮದ ಯಲ್ಲವ್ವ ಹ ಗೌರಿ ಇವರ ದನದ ಶೇಡ್ಡ ನಿರ್ಮಾಣ,Approved,2020-2021,Gram Panchayat,Works on Individuals Land (Category IV),0
,(1504009014/IF/93393042892542977),,,,,
767,ನರಸಾಪೂರ ಗ್ರಾಮದ ಕರಬಸಪ್ಪ ಗೂ ಕಡ್ಲೆಪ್ಪನವರ ಇವರ ದನದ ಶೇಡ್ಡ ನಿರ್ಮಾಣ,Approved,2020-2021,Gram Panchayat,Works on Individuals Land (Category IV),0
,(1504009014/IF/93393042892542978),,,,,
768,ನರಸಾಪೂರ ಗ್ರಾಮದ ಗೂಳಪ್ಪ ಕ ಕಡ್ಲೆಪ್ಪನವರ ಇವರ ದನದ ಶೇಡ್ಡ ನಿರ್ಮಾಣ,physical complete,2020-2021,Gram Panchayat,Works on Individuals Land (Category IV),0.1925
,(1504009014/IF/93393042892542980),,,,,
769,ನರಸಾಪೂರ ಗ್ರಾಮದ ಜಯರಾಮ ಬ ಬಾಣಿ ಇವರ ದನದ ಶೇಡ್ಡ ನಿರ್ಮಾಣ,Approved,2020-2021,Gram Panchayat,Works on Individuals Land (Category IV),0
,(1504009014/IF/93393042892542981),,,,,
770,ನರಸಾಪೂರ ಗ್ರಾಮದ ಶೇಖವ್ವ ರಾಮಣ್ಣ ಮಾದರ ಇವರ ದನದ ಶೇಡ್ಡ ನಿರ್ಮಾಣ,Approved,2020-2021,Gram Panchayat,Works on Individuals Land (Category IV),0
,(1504009014/IF/93393042892542988),,,,,
771,ನರಸಾಪೂರ ಗ್ರಾಮದ ವಿಠ್ಠಲ ಹ ಮಾದರ ಇವರ ಬದು ನಿರ್ಮಾಣ,physical complete,2020-2021,Gram Panchayat,Works on Individuals Land (Category IV),0.099
,(1504009014/IF/93393042892542990),,,,,
772,ಪೀರನಗುಡಿ ಮದರಸಾಬ ದೊಜಂಗ್ಲಿಸಾಬ ಮಕಾನದಾರ ಇವರ ದನದ ಶೇಡ್ಡ ನಿರ್ಮಾಣ,physical complete,2020-2021,Gram Panchayat,Works on Individuals Land (Category IV),0.1925
,(1504009014/IF/93393042892543101),,,,,
773,ಪೀರನಗುಡಿ ರಸೂಲಸಾಬ ಇ ಮಕಾನದಾರ ಇವರ ದನದ ಶೇಡ್ಡ ನಿರ್ಮಾಣ,Approved,2020-2021,Gram Panchayat,Works on Individuals Land (Category IV),0
,(1504009014/IF/93393042892543102),,,,,
774,ಪೀರನಗುಡಿ ರಜಾಕಸಾಬ ಜಂಗ್ಲಿಸಾಬ ಮಕಾನದಾರ ಇವರ ದನದ ಶೇಡ್ಡ ನಿರ್ಮಾಣ,Approved,2020-2021,Gram Panchayat,Works on Individuals Land (Category IV),0
,(1504009014/IF/93393042892543104),,,,,
775,ನರಸಾಪೂರ ಗ್ರಾಮದ ದ್ಯಾಮವ್ವ ರುದ್ರಪ್ಪ ನರಗುಂದ ಇವರ ದನದ ಶೇಡ್ಡ ನಿರ್ಮಾಣ,physical complete,2020-2021,Gram Panchayat,Works on Individuals Land (Category IV),0.1925
,(1504009014/IF/93393042892543105),,,,,
776,ಪೀರನಗುಡಿ ಮಾಬುಸಾಬ ಮಕಾನದಾರ ಇವರ ದನದ ಶೇಡ್ಡ ನಿರ್ಮಾಣ,Approved,2020-2021,Gram Panchayat,Works on Individuals Land (Category IV),0
,(1504009014/IF/93393042892543108),,,,,
777,ಪೀರನಗುಡಿ ಇಸ್ಮಾಯಿಲ್ ಜು ಮಕಾನದಾರ ಇವರ ದನದ ಶೇಡ್ಡ ನಿರ್ಮಾಣ,Approved,2020-2021,Gram Panchayat,Works on Individuals Land (Category IV),0
,(1504009014/IF/93393042892543111),,,,,
778,ಪೀರನಗುಡಿ ಅಬ್ದುಲಸಾಬ ಅ ಜಂಬಗಿ ಇವರ ದನದ ಶೇಡ್ಡ ನಿರ್ಮಾಣ,Approved,2020-2021,Gram Panchayat,Works on Individuals Land (Category IV),0
,(1504009014/IF/93393042892543112),,,,,
779,ಪೀರನಗುಡಿ ಹನಮಂತ ಫ ಕಲ್ಲೇಶನವರ ಇವರ ದನದ ಶೇಡ್ಡ ನಿರ್ಮಾಣ,Approved,2020-2021,Gram Panchayat,Works on Individuals Land (Category IV),0
,(1504009014/IF/93393042892543113),,,,,
780,ಪೀರನಗುಡಿ ಗ್ರಾಮದ ರಸೂಲಸಾಬ ಹ ಯಾದವಾಡ ಇವರ ದನದ ಶೇಡ್ಡ ನಿರ್ಮಾಣ,Approved,2020-2021,Gram Panchayat,Works on Individuals Land (Category IV),0
,(1504009014/IF/93393042892543116),,,,,
781,ಪೀರನಗುಡಿ ಗ್ರಾಮದ ಮಕ್ತುಮಸಾಬ ಮ ತಟಗಾರ ಇವರ ದನದ ಶೇಡ್ಡ ನಿರ್ಮಾಣ,Approved,2020-2021,Gram Panchayat,Works on Individuals Land (Category IV),0
,(1504009014/IF/93393042892543117),,,,,
782,ಪೀರನಗುಡಿ ಗ್ರಾಮದ ರಮೇಜಾ ಮುಲ್ಲಾ ಇವರ ದನದ ಶೇಡ್ಡ ನಿರ್ಮಾಣ,Approved,2020-2021,Gram Panchayat,Works on Individuals Land (Category IV),0
,(1504009014/IF/93393042892543118),,,,,
783,ಪೀರನಗುಡಿ ಗ್ರಾಮದ ಮಾಬುಬಸಾಬ ಫ ಹೊಸಮನಿ ಇವರ ದನದ ಶೇಡ್ಡ ನಿರ್ಮಾಣ,Approved,2020-2021,Gram Panchayat,Works on Individuals Land (Category IV),0
,(1504009014/IF/93393042892543124),,,,,
784,ಪೀರನಗುಡಿ ಗ್ರಾಮದ ಮದರಸಾಬ ಚಿ ಮಕಾನದಾರ ಇವರ ದನದ ಶೇಡ್ಡ ನಿರ್ಮಾಣ,Approved,2020-2021,Gram Panchayat,Works on Individuals Land (Category IV),0
,(1504009014/IF/93393042892543125),,,,,
785,ಪೀರನಗುಡಿ ಗ್ರಾಮದ ಬಸಪ್ಪ ಫ ಮೇಟಿ ಇವರ ದನದ ಶೇಡ್ಡ ನಿರ್ಮಾಣ,Approved,2020-2021,Gram Panchayat,Works on Individuals Land (Category IV),0
,(1504009014/IF/93393042892543126),,,,,
786,ನರಸಾಪೂರ ಗ್ರಾಮದ ಮಾರುತಿ ಅಡಿವೇಪ್ಪ ಇಂಚಲ್ ಇವರ ದನದ ಶೇಡ್ಡ ನಿರ್ಮಾಣ,physical complete,2020-2021,Gram Panchayat,Works on Individuals Land (Category IV),0.1925
,(1504009014/IF/93393042892543127),,,,,
787,ಪೀರನಗುಡಿ ಗ್ರಾಮದ ಮಾಸಾಬಿ ಮ ತಟಗಾರ ಇವರ ದನದ ಶೇಡ್ಡ ನಿರ್ಮಾಣ,Approved,2020-2021,Gram Panchayat,Works on Individuals Land (Category IV),0
,(1504009014/IF/93393042892543129),,,,,
788,ಪೀರನಗುಡಿ ವಿಠ್ಠಲ ಫ ಕಲ್ಲೇಶನವರ ಇವರ ದನದ ಶೇಡ್ಡ ನಿರ್ಮಾಣ,Approved,2020-2021,Gram Panchayat,Works on Individuals Land (Category IV),0
,(1504009014/IF/93393042892543130),,,,,
789,ಪೀರನಗುಡಿ ಗ್ರಾಮದ ಇಮಾಮಸಾಬ ಮೌ ಹೊಸಮನಿ ಇವರ ದನದ ಶೇಡ್ಡ ನಿರ್ಮಾಣ,physical complete,2020-2021,Gram Panchayat,Works on Individuals Land (Category IV),0.1925
,(1504009014/IF/93393042892543132),,,,,
790,ನರಸಾಪೂರ ಗ್ರಾಮದ ಅನ್ನಪ್ಪ ಬ ಅರಭಾವಿ ಇವರ ದನದ ಶೇಡ್ಡ ನಿರ್ಮಾಣ,Approved,2020-2021,Gram Panchayat,Works on Individuals Land (Category IV),0
,(1504009014/IF/93393042892543158),,,,,
791,ನರಸಾಪೂರ ಗ್ರಾಮದ ಶೆಟ್ಟೆಪ್ಪ ಸಿ ಕಳ್ಳೆಪ್ಪನ್ನವರ ಇವರ ಹೊಲದಲ್ಲಿ ದನದ ಕೋಟ್ಟಿಗೆ ನಿರ್ಮಾಣ,Approved,2020-2021,Gram Panchayat,Works on Individuals Land (Category IV),0
,(1504009014/IF/93393042892543163),,,,,
792,ನರಸಾಪೂರ ಶೇಟ್ಟಪ್ಪ ಸಿ ಕಳ್ಳೆಪ್ಪನವರ ಇವರ ದನದ ಶೇಡ್ಡ ನಿರ್ಮಾಣ,Approved,2020-2021,Gram Panchayat,Works on Individuals Land (Category IV),0
,(1504009014/IF/93393042892543164),,,,,
793,ನರಸಾಪೂರ ಗ್ರಾಮದ ಮಹಾದೇವ ಬಸಪ್ಪ ಹಳ್ಳಿ ಇವರ ದನದ ಶೇಡ್ಡ ನಿರ್ಮಾಣ,Approved,2020-2021,Gram Panchayat,Works on Individuals Land (Category IV),0
,(1504009014/IF/93393042892543179),,,,,
794,ರಾಚಪ್ಪ ನಾಗಪ್ಪ ಹಳ್ಳಿ ಇವರ ದನದ ಶೇಡ್ಡ ನಿರ್ಮಾಣ,Approved,2020-2021,Gram Panchayat,Works on Individuals Land (Category IV),0
,(1504009014/IF/93393042892543181),,,,,
795,ನರಸಾಪೂರ ಗ್ರಾಮದ ಗಂಗಪ್ಪ ಸಂತಪ್ಪ ಮಾದರ ಇವರ ದನದ ಶೇಡ್ಡ ನಿರ್ಮಾಣ,On Going,2020-2021,Gram Panchayat,Works on Individuals Land (Category IV),0.1925
,(1504009014/IF/93393042892548316),,,,,
796,ಚಿಲಮೂರ ಗ್ರಾಮದ ಬಸಪ್ಪ ಫಕೀರಪ್ಪ ಹುಚಕೆಂಚನ್ನವರ ಇವರ ದನದ ಶೇಡ್ಡ ನಿರ್ಮಾಣ,Approved,2020-2021,Gram Panchayat,Works on Individuals Land (Category IV),0
,(1504009014/IF/93393042892548320),,,,,
797,ಚಿಲಮೂರ ಗ್ರಾಮದ ಭೀಮಪ್ಪ ಪಾಂಡಪ್ಪ ಮೇಟಿ ಇವರ ದನದ ಶೇಡ್ಡ ನಿರ್ಮಾಣ,physical complete,2020-2021,Gram Panchayat,Works on Individuals Land (Category IV),0.1925
,(1504009014/IF/93393042892548323),,,,,
798,ಪೀರನಗುಡಿ ಗ್ರಾಮದ ಮೈಮೂಬಸಾಬ ದ ಸಂಕದಾಳ ಇವರ ದನದ ಶೇಡ್ಡ ನಿರ್ಮಾಣ,Approved,2020-2021,Gram Panchayat,Works on Individuals Land (Category IV),0
,(1504009014/IF/93393042892548327),,,,,
799,ನರಸಾಪೂರ ಗ್ರಾಮದ ಕರಿಯಪ್ಪ ಸಂಗಪ್ಪ ಬಾಣಿ ಇವರ ಬಚ್ಚಲು ಗುಂಡಿ ನಿರ್ಮಾಣ ಮಾಡುವದು,Approved,2020-2021,Gram Panchayat,Works on Individuals Land (Category IV),0
,(1504009014/IF/93393042892550367),,,,,
800,ನರಸಾಪೂರ ಗ್ರಾಮದ ಮಾರುತಿ ಶಿವಪ್ಪ ಪೂಜೇರ ಇವರ ಬಚ್ಚಲು ಗುಂಡಿ ನಿರ್ಮಾಣ ಮಾಡುವದು,Approved,2020-2021,Gram Panchayat,Works on Individuals Land (Category IV),0
,(1504009014/IF/93393042892550368),,,,,
801,ನರಸಾಪೂರ ಗ್ರಾಮದ ಪಾಂಡು ಸುವರ್ಣಪ್ಪ ಬಾಣಿ ಇವರ ಬಚ್ಚಲು ಗುಂಡಿ ನಿರ್ಮಾಣ ಮಾಡುವದು,Approved,2020-2021,Gram Panchayat,Works on Individuals Land (Category IV),0
,(1504009014/IF/93393042892550369),,,,,
802,ನರಸಾಪೂರ ಗ್ರಾಮದ ರಾಮಣ್ಣ ಪ್ರಕಾಶ ಬಾಣಿ ಇವರ ಬಚ್ಚಲು ಗುಂಡಿ ನಿರ್ಮಾಣ ಮಾಡುವದು,Approved,2020-2021,Gram Panchayat,Works on Individuals Land (Category IV),0
,(1504009014/IF/93393042892550370),,,,,
803,ನರಸಾಪೂರ ಗ್ರಾಮದ ಸದಾಶಿವ ಹನಮಂತ ಅಪ್ಪನ್ನವರ ಇವರ ಬಚ್ಚಲು ಗುಂಡಿ ನಿರ್ಮಾಣ ಮಾಡುವದು,physical complete,2020-2021,Gram Panchayat,Works on Individuals Land (Category IV),0.0495
,(1504009014/IF/93393042892550371),,,,,
804,ನರಸಾಪೂರ ಗ್ರಾಮದ ಸೋಮನಾಥ ಹನಮಂತ ಅಪ್ಪನ್ನವರ ಇವರ ಬಚ್ಚಲು ಗುಂಡಿ ನಿರ್ಮಾಣ ಮಾಡುವದು,physical complete,2020-2021,Gram Panchayat,Works on Individuals Land (Category IV),0.033
,(1504009014/IF/93393042892550372),,,,,
805,ನರಸಾಪೂರ ಗ್ರಾಮದ ವಿರುಪಾಕ್ಷಪ್ಪ ದುಂಡಪ್ಪ ಯಾದವಾಡ ಇವರ ಬಚ್ಚಲು ಗುಂಡಿ ನಿರ್ಮಾಣ ಮಾಡುವದು,physical complete,2020-2021,Gram Panchayat,Works on Individuals Land (Category IV),0.0495
,(1504009014/IF/93393042892550373),,,,,
806,ನರಸಾಪೂರ ಗ್ರಾಮದ ಶಿವಪ್ಪ ದುಂಡಪ್ಪ ಯಾದವಾಡ ಇವರ ಬಚ್ಚಲು ಗುಂಡಿ ನಿರ್ಮಾಣ ಮಾಡುವದು,Approved,2020-2021,Gram Panchayat,Works on Individuals Land (Category IV),0
,(1504009014/IF/93393042892550374),,,,,
807,ಚಿಲಮೂರ ಗ್ರಾಮದ ಶಾಂತವ್ವ ಬಸಪ್ಪ ಕುದರಿ ಇವರ ಬಚ್ಚಲು ಗುಂಡಿ ನಿರ್ಮಾಣ ಮಾಡುವದು,Approved,2020-2021,Gram Panchayat,Works on Individuals Land (Category IV),0
,(1504009014/IF/93393042892550375),,,,,
808,ಚಿಲಮೂರ ಗ್ರಾಮದ ಯಲ್ಲವ್ವ ಹನಮಂತ ಗೌರಿ ಇವರ ಬಚ್ಚಲು ಗುಂಡಿ ನಿರ್ಮಾಣ ಮಾಡುವದು,Approved,2020-2021,Gram Panchayat,Works on Individuals Land (Category IV),0
,(1504009014/IF/93393042892550376),,,,,
809,ಪೀರನಗುಡಿ ಗ್ರಾಮದ ಮದರಸಾಬ ಮಕಾನದಾರ ಇವರ ಬಚ್ಚಲು ಗುಂಡಿ ನಿರ್ಮಾಣ ಮಾಡುವದು,physical complete,2020-2021,Gram Panchayat,Works on Individuals Land (Category IV),0.0495
,(1504009014/IF/93393042892550377),,,,,
810,ನರಸಾಪೂರ ಗ್ರಾಮದ ಕಾಯಪ್ಪ ಯಲ್ಲಪ್ಪ ಮೇಟಿ (ಯಡಹಳ್ಳಿ) ಇವರ ಬಚ್ಚಲು ಗುಂಡಿ ನಿರ್ಮಾಣ ಮಾಡುವದು,physical complete,2020-2021,Gram Panchayat,Works on Individuals Land (Category IV),0.0495
,(1504009014/IF/93393042892550378),,,,,
811,ನರಸಾಪೂರ ಗ್ರಾಮದ ಸಿದ್ದಪ್ಪ ಯಂಕಪ್ಪ ಕಳ್ಳೆಪ್ಪನವರ ಇವರ ಬಚ್ಚಲ ಇಂಗು ಗುಂಡಿ ನಿರ್ಮಾಣ,Approved,2020-2021,Gram Panchayat,Works on Individuals Land (Category IV),0
,(1504009014/IF/93393042892552525),,,,,
812,ನರಸಾಪೂರ ಗ್ರಾಮದ ಶಿವಾನಂದ ಬಸಪ್ಪ ಕಳ್ಳೆಪ್ಪನವರ ಇವರ ಬಚ್ಚಲ ಇಂಗು ಗುಂಡಿ ನಿರ್ಮಾಣ,Approved,2020-2021,Gram Panchayat,Works on Individuals Land (Category IV),0
,(1504009014/IF/93393042892552528),,,,,
813,ನರಸಾಪೂರ ಗ್ರಾಮದ ಬಸಪ್ಪ ಭೀಮಪ್ಪ ಕಳ್ಳೆಪ್ಪನವರ ಇವರ ಬಚ್ಚಲ ಇಂಗು ಗುಂಡಿ ನಿರ್ಮಾಣ,Approved,2020-2021,Gram Panchayat,Works on Individuals Land (Category IV),0
,(1504009014/IF/93393042892552530),,,,,
814,ನರಸಾಪೂರ ಗ್ರಾಮದ ಗೂಳಪ್ಪ ಶಿವಪ್ಪ ಹಳ್ಳಿ ಇವರ ಬಚ್ಚಲ ಇಂಗು ಗುಂಡಿ ನಿರ್ಮಾಣ,Approved,2020-2021,Gram Panchayat,Works on Individuals Land (Category IV),0
,(1504009014/IF/93393042892552535),,,,,
815,ನರಸಾಪೂರ ಗ್ರಾಮದ ಬಸವ್ವ ಶಿವಪ್ಪ ಹಳ್ಳಿ ಇವರ ಬಚ್ಚಲ ಇಂಗು ಗುಂಡಿ ನಿರ್ಮಾಣ,Approved,2020-2021,Gram Panchayat,Works on Individuals Land (Category IV),0
,(1504009014/IF/93393042892552541),,,,,
816,ನರಸಾಪೂರ ಗ್ರಾಮದ ವಿಠ್ಠಲ ಯಂಕಪ್ಪ ಕಳ್ಳೆಪ್ಪನವರ ಇವರ ಇಂಗು ಗು\ಮಡಿ ನಿರ್ಮಾಣ,Approved,2020-2021,Gram Panchayat,Works on Individuals Land (Category IV),0
,(1504009014/IF/93393042892552548),,,,,
817,ನರಸಾಪೂರ ಗ್ರಾಮದ ಮಾರುತಿ ಗುರಬಸಪ್ಪ ಮಿಲಾನಟ್ಟಿ ಇವರ ಬಚ್ಚಲ ಇಂಗು ಗುಂಡಿ ನಿರ್ಮಾಣ,On Going,2020-2021,Gram Panchayat,Works on Individuals Land (Category IV),0
,(1504009014/IF/93393042892552550),,,,,
818,ನರಸಾಪೂರ ಗ್ರಾಮದ ನಿಂಗಪ್ಪ ಪರಪ್ಪ ಕೊಪ್ಪದ ಇವರ ಬಚ್ಚಲ ಇಂಗು ಗುಂಡಿ ನಿರ್ಮಾಣ,physical complete,2020-2021,Gram Panchayat,Works on Individuals Land (Category IV),0.0495
,(1504009014/IF/93393042892552554),,,,,
819,ನರಸಾಪೂರ ಗ್ರಾಮದ ದ್ಯಾಮವ್ವ ನಿಂಗಪ್ಪ ಹಳೇತೊರಗಲ್ಲ ಇವರ ಬಚ್ಚಲ ಇಂಗು ಗುಂಡಿ ನಿರ್ಮಾಣ,physical complete,2020-2021,Gram Panchayat,Works on Individuals Land (Category IV),0.033
,(1504009014/IF/93393042892552574),,,,,
820,ನರಸಾಪೂರ ಗ್ರಾಮದಮಲ್ಲಪ್ಪ ಗೂಳಪ್ಪ ಹಳೇತೊರಗಲ್ಲ ಇವರ ಬಚ್ಚಲ ಇಂಗು ಗುಂಡಿ ನಿರ್ಮಾಣ,physical complete,2020-2021,Gram Panchayat,Works on Individuals Land (Category IV),0.0495
,(1504009014/IF/93393042892552581),,,,,
821,ನರಸಾಪೂರ ಗ್ರಾಮದ ಬಸಪ್ಪ ಮಲ್ಲಪ್ಪ ಹಳೇತೊರಗಲ್ಲ ಇವರ ಬಚ್ಚಲ ಇಂಗು ಗುಂಡಿ ನಿರ್ಮಾಣ,physical complete,2020-2021,Gram Panchayat,Works on Individuals Land (Category IV),0.0495
,(1504009014/IF/93393042892552584),,,,,
822,ನರಸಾಪೂರ ಗ್ರಾಮದ ಸುವರ್ಣಪ್ಪ ಯಲ್ಲಪ್ಪ ಬಾಣಿ ಇವರ ಬಚ್ಚಲ ಇಂಗು ಗುಂಡಿ ನಿರ್ಮಾಣ,Approved,2020-2021,Gram Panchayat,Works on Individuals Land (Category IV),0
,(1504009014/IF/93393042892552588),,,,,
823,ನರಸಾಪೂರ ಗ್ರಾಮದ ಯಲ್ಲಪ್ಪ ಸಿದ್ದಪ್ಪ ಬಾಣಿ ಇವರ ಬಚ್ಚಲ ಇಂಗು ಗುಂಡಿ ನಿರ್ಮಾಣ,Approved,2020-2021,Gram Panchayat,Works on Individuals Land (Category IV),0
,(1504009014/IF/93393042892552591),,,,,
824,ನರಸಾಪೂರ ಗ್ರಾಮದ ಉಮೇಶ ವೀರಭದ್ರಪ್ಪ ಬಳಿಗೇರ ಇವರ ಬಚ್ಚಲ ಇಂಗು ಗುಂಡಿ ನಿರ್ಮಾಣ,Approved,2020-2021,Gram Panchayat,Works on Individuals Land (Category IV),0
,(1504009014/IF/93393042892552596),,,,,
825,ನರಸಾಪೂರ ಗ್ರಾಮದ ಶಿವಪ್ಪ ವೀರಭದ್ರಪ್ಪ ಬಳಗೇರ ಇವರ ಬಚ್ಚಲ ಇಂಗು ಗುಂಡಿ ನಿರ್ಮಾಣ,Approved,2020-2021,Gram Panchayat,Works on Individuals Land (Category IV),0
,(1504009014/IF/93393042892552600),,,,,
826,ನರಸಾಪೂರ ಗ್ರಾಮದ ಮಹಾಂತೇಶ ಬಸಪ್ಪ ನರಸಾಪೂರ ಇವರ ಬಚ್ಚಲ ಇಂಗು ಗುಂಡಿ ನಿರ್ಮಾಣ,Approved,2020-2021,Gram Panchayat,Works on Individuals Land (Category IV),0
,(1504009014/IF/93393042892552601),,,,,
827,ನರಸಾಪೂರ ಗ್ರಾಮದ ಬಾಳಪ್ಪ ಮಾದೇವಪ್ಪ ಹಳ್ಳಿ ಇವರ ಬಚ್ಚಲ ಇಂಗು ಗುಂಡಿ ನಿರ್ಮಾಣ,Approved,2020-2021,Gram Panchayat,Works on Individuals Land (Category IV),0
,(1504009014/IF/93393042892552607),,,,,
828,ನರಸಾಪೂರ ಮಾರುತಿ ಕರಬಸಪ್ಪ ಕೊಪ್ಪದ ಇವರ ಬಚ್ಚಲ ಇಂಗು ಗುಂಡಿ ನಿರ್ಮಾಣ,physical complete,2020-2021,Gram Panchayat,Works on Individuals Land (Category IV),0.0495
,(1504009014/IF/93393042892554169),,,,,
829,ನರಸಾಪೂರ ಗೂಳಪ್ಪ ಕರಬಸಪ್ಪ ಕಡ್ಲೆಪ್ಪನವರ ಇವರ ಬಚ್ಚಲ ಇಂಗು ಗುಂಡಿ ನಿರ್ಮಾಣ,On Going,2020-2021,Gram Panchayat,Works on Individuals Land (Category IV),0.0495
,(1504009014/IF/93393042892554171),,,,,
830,ನರಸಾಪೂರ ಭೀಮಪ್ಪ ಕರಬಸಪ್ಪ ಕೊಪ್ಪದ ಇವರ ಬಚ್ಚಲ ಇಂಗು ಗುಂಡಿ ನಿರ್ಮಾಣ,On Going,2020-2021,Gram Panchayat,Works on Individuals Land (Category IV),0.0495
,(1504009014/IF/93393042892554173),,,,,
831,ನರಸಾಪೂರ ಶಿವಪ್ಪ ಕರಬಸಪ್ಪ ಕಡ್ಲೆಪ್ಪನ್ನವರ ಇವರ ಬಚ್ಚಲ ಇಂಗು ಗುಂಡಿ ನಿರ್ಮಾಣ,physical complete,2020-2021,Gram Panchayat,Works on Individuals Land (Category IV),0.033
,(1504009014/IF/93393042892554174),,,,,
832,ನರಸಾಪೂರ ಈರಪ್ಪ ದುಂ ಬೀಡಕಿ ಇವರ ಬಚ್ಚಲ ಇಂಗು ಗುಂಡಿ ನಿರ್ಮಾಣ,physical complete,2020-2021,Gram Panchayat,Works on Individuals Land (Category IV),0.0495
,(1504009014/IF/93393042892554176),,,,,
833,ನರಸಾಪೂರ ಈರಪ್ಪ ಬಸಪ್ಪ ಹಳ್ಳಿ ಇವರ ಬಚ್ಚಲ ಇಂಗು ಗುಂಡಿ ನಿರ್ಮಾಣ,physical complete,2020-2021,Gram Panchayat,Works on Individuals Land (Category IV),0.0495
,(1504009014/IF/93393042892554177),,,,,
834,ನರಸಾಪೂರ ಶಿವಲಿಂಗಪ್ಪ ದುಂ ಬೀಡಕಿ ಇವರ ಬಚ್ಚಲ ಇಂಗು ಗುಂಡಿ ನಿರ್ಮಾಣ,Approved,2020-2021,Gram Panchayat,Works on Individuals Land (Category IV),0
,(1504009014/IF/93393042892554178),,,,,
835,ನರಸಾಪೂರ ಸಂಗನಬಸಪ್ಪ ಬ ಬೀಡಕಿ ಬಚ್ಚಲ ಇಂಗು ಗುಂಡಿ ನಿರ್ಮಾಣ,physical complete,2020-2021,Gram Panchayat,Works on Individuals Land (Category IV),0.0495
,(1504009014/IF/93393042892554179),,,,,
836,ನರಸಾಪೂರ ಯಲ್ಲಪ್ಪ ಭೀ ಪರಮಗೊಂಡ ಇವರ ಬಚ್ಚಲ ಇಂಗು ಗುಂಡಿ ನಿರ್ಮಾಣ,physical complete,2020-2021,Gram Panchayat,Works on Individuals Land (Category IV),0.0495
,(1504009014/IF/93393042892554180),,,,,
837,ನರಸಾಪೂರ ಗದಿಗೇಪ್ಪ ಭೀ ಪರಮಗೊಂಡ ಇವರ ಬಚ್ಚಲ ಇಂಗು ಗುಂಡಿ ನಿರ್ಮಾಣ,physical complete,2020-2021,Gram Panchayat,Works on Individuals Land (Category IV),0.033
,(1504009014/IF/93393042892554181),,,,,
838,ನರಸಾಪೂರ ವಿಠ್ಠಲ ಬಸಪ್ಪ ಹಳ್ಳಿ ಇವರ ಬಚ್ಚಲ ಇಂಗು ಗುಂಡಿ ನಿರ್ಮಾಣ,physical complete,2020-2021,Gram Panchayat,Works on Individuals Land (Category IV),0.0495
,(1504009014/IF/93393042892554183),,,,,
839,ನರಸಾಪೂರ ರಮೇಶ ನಾಗಪ್ಪ ಹಳ್ಳಿ ಇವರ ಬಚ್ಚಲ ಇಂಗು ಗುಂಡಿ ನಿರ್ಮಾಣ,physical complete,2020-2021,Gram Panchayat,Works on Individuals Land (Category IV),0.0495
,(1504009014/IF/93393042892554184),,,,,
840,ನರಸಾಪೂರ ಸುರೇಶ ನಾಗಪ್ಪ ಹಳ್ಳಿ ಇವರ ಬಚ್ಚಲ ಇಂಗು ಗುಂಡಿ ನಿರ್ಮಾಣ,physical complete,2020-2021,Gram Panchayat,Works on Individuals Land (Category IV),0.0495
,(1504009014/IF/93393042892554185),,,,,
841,ನರಸಾಪೂರ ಗ್ರಾಮದ ಮಹಾದೇವ ಬಸಪ್ಪ ಹಳ್ಳಿ ಇವರ ಬಚ್ಚಲ ಗುಂಡಿ ನಿರ್ಮಾಣ,physical complete,2020-2021,Gram Panchayat,Works on Individuals Land (Category IV),0.0495
,(1504009014/IF/93393042892554188),,,,,
